Sl.No.,India/State/Union Territory,Population - Persons - 2001,Population - Males - 2001,Population - Females - 2001,Population - Persons - 2011,Population - Males - 2011,Population - Females - 2011,Sex ratio - 2001,Sex ratio - 2011,Density (per sq.km) - 2001,Density (per sq.km) - 2011,Deceennial growth rate(%) - 1991-2001,Deceennial growth rate(%) - 2001-2011,Average Annual Exponential Growth Rate (%) - 1991-2001,Average Annual Exponential Growth Rate (%) - 2001-2011
India,India,1028737436,532223090,496514346,1210854977,623270258,587584719,933,943,325,382,21.5,17.7,1.97,1.63
1,Andhra Pradesh,76210007,38527413,37682594,84580777,42442146,42138631,978,993,277,308,14.6,11,1.37,1.04
2,Arunachal Pradesh,1097968,579941,518027,1383727,713912,669815,893,938,13,17,27,26,2.42,2.31
3,Assam,26655528,13777037,12878491,31205576,15939443,15266133,935,958,340,398,18.9,17.1,1.75,1.58
4,Bihar,82998509,43243795,39754714,104099452,54278157,49821295,919,918,881,1106,28.6,25.4,2.55,2.27
5,Chhatisgarh,20833803,10474218,10359585,25545198,12832895,12712303,989,991,154,189,18.3,22.6,1.69,2.04
6,Delhi,13850507,7607234,6243273,16787941,8987326,7800615,821,868,9340,11320,47,21.2,3.93,1.92
7,Goa,1347668,687248,660420,1458545,739140,719405,961,973,364,394,15.2,8.2,1.43,0.79
8,Gujarat,50671017,26385577,24285440,60439692,31491260,28948432,920,919,258,308,22.7,19.3,2.06,1.76
9,Haryana,21144564,11363953,9780611,25351462,13494734,11856728,861,879,478,573,28.4,19.9,2.53,1.81
10,Himachal Pradesh,6077900,3087940,2989960,6864602,3481873,3382729,968,972,109,123,17.5,12.9,1.63,1.22
11,Jammu & Kashmir,10143700,5360926,4782774,12541302,6640662,5900640,892,889,100,124,29.4,23.6,2.61,2.12
12,Jharkhand,26945829,13885037,13060792,32988134,16930315,16057819,941,949,338,414,23.4,22.4,2.12,2.02
13,Karnataka,52850562,26898918,25951644,61095297,30966657,30128640,965,973,276,319,17.5,15.6,1.63,1.45
14,Kerala,31841374,15468614,16372760,33406061,16027412,17378649,1058,1084,820,860,9.4,4.9,0.9,0.48
15,Madhya Pradesh,60348023,31443652,28904371,72626809,37612306,35014503,919,931,196,236,24.3,20.3,2.2,1.85
16,Maharashtra,96878627,50400596,46478031,112374333,58243056,54131277,922,929,315,365,22.7,16,2.07,1.48
17,Manipur,2293896,1161952,1131944,2855794,1438586,1417208,974,985,97,115,24.9,18.6,2.25,2.19
18,Meghalaya,2318822,1176087,1142735,2966889,1491832,1475057,972,989,103,132,30.7,27.9,2.71,2.46
19,Mizoram,888573,459109,429464,1097206,555339,541867,935,976,42,52,28.8,23.5,2.57,2.11
20,Nagaland,1990036,1047141,942895,1978502,1024649,953853,900,931,120,119,64.5,-0.6,5.11,-0.06
21,Odisha,36804660,18660570,18144090,41974218,21212136,20762082,972,979,236,270,16.3,14,1.52,1.31
22,Punjab,24358999,12985045,11373954,27743338,14639465,13103873,876,895,484,551,20.1,13.9,1.85,1.3
23,Rajasthan,56507188,29420011,27087177,68548437,35550997,32997440,921,928,165,200,28.4,21.3,2.53,1.93
24,Sikkim,540851,288484,252367,610577,323070,287507,875,890,76,86,33.1,12.9,2.9,1.21
25,Tamil Nadu,62405679,31400909,31004770,72147030,36137975,36009055,987,996,480,555,11.7,15.6,1.11,1.45
26,Tripura,3199203,1642225,1556978,3673917,1874376,1799541,948,960,305,350,16,14.8,1.5,1.38
27,Uttar Pradesh,166197921,87565369,78632552,199812341,104480510,95331831,898,912,690,829,25.9,20.2,2.33,1.84
28,Uttarakhand,8489349,4325924,4163425,10086292,5137773,4948519,962,963,159,189,20.4,18.8,1.87,1.72
29,West Bengal,80176197,41465985,38710212,91276115,46809027,44467088,934,950,903,1028,17.8,13.8,1.65,1.3
30,Andaman & Nicobar Islands,356152,192972,163180,380581,202871,177710,846,876,43,46,26.9,6.9,2.41,0.66
31,Chandigarh,900635,506938,393697,1055450,580663,474787,777,818,7900,9258,40.3,17.2,3.44,1.59
32,Dadra & Nagar Haveli,220490,121666,98824,343709,193760,149949,812,774,449,770,59.2,55.9,4.76,4.44
33,Daman & Diu,158204,92512,65692,243247,150301,92946,710,618,1425,2191,55.7,53.8,4.53,4.3
34,Lakshadweep,60650,31131,29519,64473,33123,31350,948,947,2022,2149,17.3,6.3,1.61,0.61
35,Puducherry,974345,486961,487384,1247953,612511,635442,1001,1037,1989,2547,20.6,28.1,1.89,2.47
