,States/UTs,Category,Total geographical area,Reporting area for land utilization,Forests,Not available for cultivation,Permanent pastures and other grazing lands,Land under miscellaneous tree crops & groves,Culturable wasteland,Fallow lands other than current fallows,Current fallows,Net area sown
0,Andhra Pradesh,Area,27507.0,27505,6210.0,4781.0,602.0,320.0,695.0,1583.0,3166.0,10147.0
1,Andhra Pradesh,Percentage to Geographical Area,,100,22.58,17.38,2.19,1.16,2.53,5.76,11.51,36.89
2,Arunachal Pradesh,Area,8374.0,5659,5154.0,65.0,18.0,37.0,67.0,73.0,37.0,209.0
3,Arunachal Pradesh,Percentage to Geographical Area,,100,91.08,1.15,0.32,0.65,1.18,1.29,0.65,3.69
4,Assam,Area,7844.0,7850,1954.0,2512.0,160.0,209.0,77.0,60.0,127.0,2753.0
5,Assam,Percentage to Geographical Area,,100,24.89,32.0,2.04,2.66,0.98,0.76,1.62,35.07
6,Bihar,Area,9416.0,9360,622.0,2083.0,17.0,240.0,46.0,129.0,666.0,5556.0
7,Bihar,Percentage to Geographical Area,,100,6.65,22.25,0.18,2.56,0.49,1.38,7.12,59.36
8,Chhattisgarh,Area,13519.0,13790,6355.0,996.0,857.0,1.0,350.0,238.0,271.0,4772.0
9,Chhattisgarh,Percentage to Geographical Area,,100,46.08,7.22,6.21,0.01,2.54,1.73,1.97,34.24
10,Delhi,Area,148.0,147,1.0,92.0,0.0,1.0,10.0,8.0,12.0,23.0
11,Delhi,Percentage to Geographical Area,,100,0.68,62.59,0.0,0.68,6.8,5.44,8.16,15.65
12,Goa,Area,370.0,361,125.0,37.0,1.0,1.0,53.0,,7.0,137.0
13,Goa,Percentage to Geographical Area,,100,34.63,10.25,0.28,0.28,14.68,0.0,1.94,37.95
14,Gujarat,Area,19602.0,18868,1854.0,3752.0,850.0,4.0,1977.0,11.0,568.0,9852.0
15,Gujarat,Percentage to Geographical Area,,100,9.83,19.89,4.5,0.02,10.48,0.06,3.01,52.22
16,Haryana,Area,4421.0,4372,39.0,524.0,27.0,12.0,65.0,8.0,141.0,3556.0
17,Haryana,Percentage to Geographical Area,,100,0.89,11.99,0.62,0.27,1.49,0.18,3.23,81.34
18,Himachal Pradesh,Area,5567.0,4545,1101.0,1130.0,1501.0,69.0,127.0,14.0,60.0,543.0
19,Himachal Pradesh,Percentage to Geographical Area,,100,24.22,24.86,33.03,1.52,2.79,0.31,1.32,11.95
20,Jammu & Kashmir,Area,22224.0,3781,2023.0,582.0,128.0,72.0,146.0,16.0,74.0,742.0
21,Jammu & Kashmir,Percentage to Geographical Area,,100,53.5,15.39,3.39,1.9,3.86,0.42,1.96,19.62
22,Jharkhand,Area,7972.0,7970,2333.0,1365.0,88.0,113.0,274.0,783.0,1244.0,1769.0
23,Jharkhand,Percentage to Geographical Area,,100,29.27,17.13,1.1,1.42,3.44,9.82,15.61,22.2
24,Karnataka,Area,19179.0,19050,3072.0,2151.0,934.0,292.0,416.0,515.0,1565.0,10105.0
25,Karnataka,Percentage to Geographical Area,,100,16.13,11.29,4.9,1.53,2.18,2.7,8.22,53.04
26,Kerala,Area,3886.0,3886,1082.0,475.0,0.0,9.0,90.0,47.0,82.0,2101.0
27,Kerala,Percentage to Geographical Area,,100,27.84,12.22,0.0,0.23,2.32,1.21,2.11,54.07
28,Madhya Pradesh,Area,30825.0,30756,8699.0,3398.0,1348.0,19.0,1177.0,612.0,769.0,14735.0
29,Madhya Pradesh,Percentage to Geographical Area,,100,28.28,11.05,4.38,0.06,3.83,1.99,2.5,47.91
30,Mahrashtra,Area,30771.0,30758,5214.0,3131.0,1252.0,249.0,914.0,1199.0,1325.0,17475.0
31,Mahrashtra,Percentage to Geographical Area,,100,16.95,10.18,4.07,0.81,2.97,3.9,4.31,56.81
32,Manipur,Area,2233.0,1951,1693.0,27.0,1.0,6.0,1.0,0.0,0.0,224.0
33,Manipur,Percentage to Geographical Area,,100,86.78,1.38,0.05,0.31,0.05,0.0,0.0,11.48
34,Meghalaya,Area,2243.0,2227,942.0,228.0,0.0,158.0,450.0,169.0,68.0,213.0
35,Meghalaya,Percentage to Geographical Area,,100,42.3,10.24,0.0,7.09,20.21,7.59,3.05,9.56
36,Mizoram,Area,2108.0,1946,1594.0,134.0,5.0,10.0,5.0,82.0,24.0,92.0
37,Mizoram,Percentage to Geographical Area,,100,81.91,6.89,0.26,0.51,0.26,4.21,1.23,4.73
38,Nagaland,Area,1658.0,1595,863.0,75.0,0.0,120.0,57.0,76.0,82.0,322.0
39,Nagaland,Percentage to Geographical Area,,100,54.11,4.7,0.0,7.52,3.57,4.76,5.14,20.19
40,Odisha,Area,15571.0,15571,5813.0,1842.0,443.0,482.0,392.0,434.0,426.0,5739.0
41,Odisha,Percentage to Geographical Area,,100,37.33,11.83,2.85,3.1,2.52,2.79,2.74,36.86
42,Punjab,Area,5036.0,5033,308.0,450.0,4.0,4.0,9.0,0.0,13.0,4243.0
43,Punjab,Percentage to Geographical Area,,100,6.12,8.94,0.08,0.08,0.18,0.0,0.26,84.3
44,Rajasthan,Area,34224.0,34265,2698.0,4262.0,1706.0,20.0,4611.0,2265.0,1939.0,16764.0
45,Rajasthan,Percentage to Geographical Area,,100,7.87,12.44,4.98,0.06,13.46,6.61,5.66,48.92
46,Sikkim,Area,710.0,728,319.0,250.0,4.0,5.0,2.0,30.0,5.0,112.0
47,Sikkim,Percentage to Geographical Area,,100,43.82,34.34,0.55,0.69,0.27,4.12,0.69,15.38
48,Tamil Nadu,Area,13006.0,13027,2106.0,2662.0,110.0,268.0,354.0,1493.0,907.0,5126.0
