State/UTs,Category,Tree Cover,Forest Cover,Forest & Tree Cover
Andhra Pradesh,Area,7191,45102,52293
Andhra Pradesh,Percentage of Geographical area,2.61,16.4,19.01
Arunachal Pradesh,Area,592,67353,67945
Arunachal Pradesh,Percentage of Geographical area,0.71,80.43,81.14
Assam,Area,1590,27692,29282
Assam,Percentage of Geographical area,2.03,35.3,37.33
Bihar,Area,2495,6804,9299
Bihar,Percentage of Geographical area,2.65,7.23,9.88
Chhattisgarh,Area,4027,55870,59897
Chhattisgarh,Percentage of Geographical area,2.98,41.33,44.31
Delhi,Area,123,177,300
Delhi,Percentage of Geographical area,8.29,11.91,20.2
Goa,Area,286,2151,2437
Goa,Percentage of Geographical area,7.73,58.1,65.83
Gujarat,Area,8390,14620,23010
Gujarat,Percentage of Geographical area,4.28,7.46,11.74
Haryana,Area,1409,1594,3003
Haryana,Percentage of Geographical area,3.19,3.61,6.8
Himachal Pradesh,Area,638,14668,15306
Himachal Pradesh,Percentage of Geographical area,1.15,26.35,27.5
Jammu & Kashmir,Area,6764,22686,29450
Jammu & Kashmir,Percentage of Geographical area,3.04,10.21,13.25
Jharkhand,Area,3032,22894,25926
Jharkhand,Percentage of Geographical area,3.8,28.72,32.52
Karnataka,Area,5683,36190,41873
Karnataka,Percentage of Geographical area,2.96,18.87,21.83
Kerala,Area,2801,17324,20125
Kerala,Percentage of Geographical area,7.21,44.58,51.79
Madhya Pradesh,Area,6871,77700,84571
Madhya Pradesh,Percentage of Geographical area,2.23,25.21,27.44
Mahrashtra,Area,9466,50650,60116
Mahrashtra,Percentage of Geographical area,3.08,16.46,19.54
Manipur,Area,197,17280,17477
Manipur,Percentage of Geographical area,0.88,77.4,78.28
Meghalaya,Area,542,17321,17863
Meghalaya,Percentage of Geographical area,2.42,77.23,79.65
Mizoram,Area,172,19240,19412
Mizoram,Percentage of Geographical area,0.82,91.27,92.09
Nagaland,Area,300,13464,13764
Nagaland,Percentage of Geographical area,1.81,81.21,83.02
Odisha,Area,4435,48855,53290
Odisha,Percentage of Geographical area,2.85,31.38,34.23
Punjab,Area,1699,1664,3363
Punjab,Percentage of Geographical area,3.37,3.3,6.67
Rajasthan,Area,8274,16036,24310
Rajasthan,Percentage of Geographical area,2.42,4.69,7.11
Sikkim,Area,20,3357,3377
Sikkim,Percentage of Geographical area,0.28,47.31,47.59
Tamil Nadu,Area,4968,23338,28306
Tamil Nadu,Percentage of Geographical area,3.82,17.94,21.76
Tripura,Area,171,8073,8244
Tripura,Percentage of Geographical area,1.63,76.95,78.58
Uttar Pradesh,Area,7381,14341,21722
Uttar Pradesh,Percentage of Geographical area,3.06,5.95,9.01
Uttarakhand,Area,665,24495,25160
Uttarakhand,Percentage of Geographical area,1.24,45.8,47.04
West Bengal,Area,2458,12994,15452
West Bengal,Percentage of Geographical area,2.77,14.64,17.41
Andaman & Nicobar Islands,Area,44,6662,6706
Andaman & Nicobar Islands,Percentage of Geographical area,0.53,80.76,81.29
Chandigarh,Area,11,17,28
Chandigarh,Percentage of Geographical area,9.65,14.91,24.56
Dadra & Nagar Haveli,Area,27,211,238
Dadra & Nagar Haveli,Percentage of Geographical area,5.5,42.97,48.47
Daman & Diu,Area,9,6,15
Daman & Diu,Percentage of Geographical area,8.04,5.04,13.08
Lakshwadeep,Area,4,26,30
Lakshwadeep,Percentage of Geographical area,12.5,82.75,95.25
Puducherry,Area,34,44,78
Puducherry,Percentage of Geographical area,7.08,9.14,16.22
